Date,High,Low,Open,Close,Volume,Adj Close
1999-12-31,2.5859375,2.5,2.515625,2.5546875,3789600.0,1.2223377227783203
2000-01-03,2.5625,2.4765625,2.546875,2.5390625,14484000.0,1.2148616313934326
2000-01-04,2.53125,2.328125,2.5078125,2.40625,18216800.0,1.1513155698776245
2000-01-05,2.4296875,2.3359375,2.40625,2.3359375,24022400.0,1.1176732778549194
2000-01-06,2.59375,2.4609375,2.5,2.4765625,26992000.0,1.1849578619003296
2000-01-07,2.6015625,2.4375,2.484375,2.5390625,17420000.0,1.2148616313934326
2000-01-10,2.5390625,2.4921875,2.5234375,2.5,15232800.0,1.1961718797683716
2000-01-11,2.5234375,2.453125,2.5,2.4609375,19578400.0,1.1774814128875732
2000-01-12,2.46875,2.4375,2.4609375,2.4375,16377600.0,1.1662671566009521
2000-01-13,2.4609375,2.3828125,2.4375,2.4375,18737600.0,1.1662671566009521
2000-01-14,2.4921875,2.421875,2.4296875,2.4609375,9264800.0,1.1774814128875732
2000-01-18,2.4453125,2.3671875,2.4296875,2.3828125,7888000.0,1.140101432800293
2000-01-19,2.421875,2.296875,2.4140625,2.3046875,14485600.0,1.1027209758758545
2000-01-20,2.375,2.2734375,2.359375,2.3125,9239200.0,1.1064587831497192
2000-01-21,2.2890625,2.109375,2.28125,2.15625,43389600.0,1.03169846534729
2000-01-24,2.1484375,2.0625,2.09375,2.078125,28382400.0,0.9943170547485352
2000-01-25,2.1484375,2.0703125,2.078125,2.125,13167200.0,1.016745924949646
2000-01-26,2.1875,2.1015625,2.1015625,2.171875,16465600.0,1.039174199104309
2000-01-27,2.2265625,2.109375,2.1640625,2.140625,12228800.0,1.0242217779159546
2000-01-28,2.1171875,2.03125,2.109375,2.0390625,13932000.0,0.9756274223327637
2000-01-31,2.0625,2.0078125,2.046875,2.0390625,11296800.0,0.9756274223327637
2000-02-01,2.0859375,2.0078125,2.0078125,2.078125,10495200.0,0.9943170547485352
2000-02-02,2.21875,2.0078125,2.0859375,2.1875,11921600.0,1.0466502904891968
2000-02-03,2.3203125,2.125,2.15625,2.2734375,22321600.0,1.0877684354782104
2000-02-04,2.328125,2.15625,2.2734375,2.2890625,21488800.0,1.0952446460723877
2000-02-07,2.2421875,2.1171875,2.234375,2.1484375,17973600.0,1.027959942817688
2000-02-08,2.21875,2.171875,2.171875,2.1953125,13179200.0,1.0677834749221802
2000-02-09,2.1875,2.125,2.1875,2.1328125,9064800.0,1.0373836755752563
2000-02-10,2.1875,2.046875,2.125,2.15625,9249600.0,1.0487838983535767
2000-02-11,2.171875,2.046875,2.171875,2.09375,9435200.0,1.0183839797973633
2000-02-14,2.109375,2.0390625,2.1015625,2.0859375,6545600.0,1.0145843029022217
2000-02-15,2.0859375,2.015625,2.0859375,2.0390625,9323200.0,0.9917839765548706
2000-02-16,2.046875,1.9375,2.046875,1.953125,13372000.0,0.9499849081039429
